,Adverbs,Articles,Conjunctions,First-person plural,Indefinite pronouns,Negations,Numbers,Prepositions,Quantifiers,Second person,Third-person plural,Third-person singular,Total pronouns,Words >6 letters,adj_arg_ovl,adj_cw_ovl,adj_stem_ovl,adjectives,arg_ovl,cm.DESPL,cm.DESSC,cm.DESSL,cm.DESWC,cm.DESWLsyd,cm.LDTTRa,cm.LDTTRc,cm.LDVOCD,cm.LSAGN,cm.RDFKGL,cm.SMCAUSwn,conn_incidence,hypernyms_verbs,liwc.i,liwc.money,lsa.similarity,message.depth,message.reply.cnt,message.sim.next,message.sim.prev,mod_per_np,negation_incidence,ner.entity.cnt,nouns,np_incidence,paragraphs,personal_pronouns,pronouns,stem_ovl,syllables_per_content_word,verbs,words_before_main_verb,classe
874,1,4,1,0,0,0,0,8,0,0,0,0,3,9,0.0,0.0,0.0,5.5556E+16,0.0,1.0,3,12667,36,1.1,732,488,488,474,5.2678E+16,1.7714E+16,138889,0.8,0,0,25,5,0,779,7.86E+15,147,0.0,2,277778,4.24242E+16,2,0.0,2.7778E+16,0.0,2895,138889,0.5,2
875,5,8,4,0,3,0,0,10,1,0,0,0,1,15,0.0,0.0,0.0,45455,0.0,1.0,1,68.0,66,9.74E+15,5.92E+15,3.29E+16,3.29E+16,715,4206,40.6,151515,444,0,0,0.0,1,0,795,779,643,0.0,1,30303,2.12121E+16,1,0.0,75758,0.0,2.771E+16,136364,3.0,2
876,4,9,3,0,2,0,0,2,3,0,2,2,2,20,2.0,2333,3.0,65789,2.5,4.0,4,19.5,76,9.89E+15,5.71E+15,31,31,7.07E+15,6.2069E+16,1111,1.05263E+16,182,0,0,49,1,0,8.59E+15,795,396,0.0,0,289474,263095,1,0.0,118421,3.5,281,144737,675,2
877,8,14,3,0,6,1,0,13,3,0,0,1,1,29,0.5,1.0,1.0,39216,0.6,5.0,5,22.4,105,1.108E+16,645,363,363,775,44008,6.077E+15,78431,1.67E+16,0,0,669,1,0,7.96E+15,8.59E+15,5.48E+15,9804,1,294118,298251,1,9804,1.27451E+16,1.1,2745,1.27451E+16,2.8,2
878,3,5,3,0,0,0,0,5,0,0,3,3,0,10,0.0,0.0,0.0,0.0,0.0,2.0,2,24.5,45,1081,667,4.04E+16,4.04E+16,7.88E+15,35968,14.3,155556,1.0,0,0,735,2,0,892,7.96E+15,364,0.0,0,2.44444E+16,2.44444E+16,1,0.0,111111,0.0,2846,2.44444E+16,3.0,2
879,3,14,5,0,0,1,0,10,0,0,2,2,2,24,2.5,2.0,3.5,67416,1.667E+16,667,3,32.0,89,1045,6.92E+15,4.71E+16,4.71E+16,731,36699,1275,101124,375,0,0,331,1,0,915,892,258,1.1236E+16,3,280899,612573,3,0.0,5618,2333,2.8,191011,667,2
880,5,10,3,1,2,1,0,9,1,0,1,2,0,30,1.0,1.0,1.5,10989,667,579,3,3.1333E+16,91,1182,7.14E+15,429,429,7.61E+15,26449,5308,87912,2.86E+16,0,0,599,1,0,879,915,389,10989,0,2.41758E+16,335212,2,10989,142857,1.0,302,164835,5.333E+15,2
881,6,15,3,1,2,0,0,9,2,0,0,1,4,33,25,0.5,0.5,7767,0.8,2.0,6,17.5,103,1339,655,4.22E+16,4.22E+16,8.24E+15,38874,2786,7767,909,0,0,397,1,0,568,879,512,0.0,4,320388,354545,2,9709,126214,0.6,3053,126214,2.8,2
882,6,4,3,0,0,0,1,12,2,0,1,1,2,26,0.0,0.0,0.0,1.13924E+16,0.0,1.0,1,81.0,79,1.267E+16,733,4.77E+16,4.77E+16,633,-2721,1125,1.26582E+16,0.5,0,0,0.0,1,0,568,568,179,0.0,0,3.16456E+16,35443,1,0.0,8.8608E+15,0.0,3.204E+16,1.13924E+16,26.0,2
883,3,6,2,0,2,0,1,4,2,0,0,1,1,6,0.0,0.0,0.0,50.0,0.0,667,2,21.5,40,9.16E+15,7.66E+15,4.68E+16,4.68E+16,69,55698,2.1714E+16,125.0,1.67E+16,0,0,498,1,0,7.91E+15,568,3.43E+16,0.0,2,300.0,433333,2,25.0,75.0,0.0,2.6,150.0,3.5,2
