,Adverbs,Articles,Conjunctions,First-person plural,Indefinite pronouns,Negations,Numbers,Prepositions,Quantifiers,Second person,Third-person plural,Third-person singular,Total pronouns,Words >6 letters,adj_arg_ovl,adj_cw_ovl,adj_stem_ovl,adjectives,arg_ovl,cm.DESPL,cm.DESSC,cm.DESSL,cm.DESWC,cm.DESWLsyd,cm.LDTTRa,cm.LDTTRc,cm.LDVOCD,cm.LSAGN,cm.RDFKGL,cm.SMCAUSwn,conn_incidence,hypernyms_verbs,liwc.i,liwc.money,lsa.similarity,message.depth,message.reply.cnt,message.sim.next,message.sim.prev,mod_per_np,negation_incidence,ner.entity.cnt,nouns,np_incidence,paragraphs,personal_pronouns,pronouns,stem_ovl,syllables_per_content_word,verbs,words_before_main_verb,classe
853,0.0,698,698,0.0,465,0.0,0.0,9.3,233,9.3,233,0.0,1628,2791,667,8.9E+15,3.33E+16,465,3.33E+16,4,4,1075,43,1.066E+16,86,9.13E+15,0.0,7,8084,611,93023,1629,0.0,0.0,128938975,1,1,25,0.0,1.0,0.0,7,232558,27907,1,1163,116279,1.67E+16,1651,139535,175,2
854,411,137,274,0.0,822,274,0.0,1644,411,822,0.0,0.0,2192,13.7,0.6,9.3E+15,0.0,548,467,6,6,12.5,75,6.71E+15,84,9.74E+15,0.0,1.12E+16,5.333E+15,451,40.0,1.491E+16,548,0.0,1.88456E+16,1,2,271,0.0,0.6,13333,12,186666,280.0,1,13.7,160.0,0.0,136,146667,1.5,1
855,222,1333,222,0.0,667,111,0.0,1444,111,0.0,0.0,0.0,778,2556,25,34,25,333,0.3,5,5,17.8,89,9.74E+15,767,922,0.0,161,10185,52,5618,1.533E+16,111,0.0,5.92517E+15,1,4,451,0.0,8.64E+15,1.1236E+16,26,280899,382022,1,111,1.1236E+16,0.3,1.596E+16,134832,1.8,2
856,254,1015,558,0.0,355,305,152,1878,406,102,102,0.0,812,2081,222,33,3.33E+16,508,1.78E+16,10,10,19.6,196,9.11E+15,6.41E+15,878,96521,23,10592,4.87E+16,96939,1.283E+16,254,51,6.96319E+15,2,1,588,606,815,2551,41,265306,3.92857E+16,1,457,56122,133,1571,9.6938E+15,6.5,2
857,1032,903,645,0.0,839,65,65,1613,452,0.0,65,0.0,1226,2323,3.33E+16,98,3.33E+16,387,1.67E+16,4,4,39.5,158,843,603,0.8,69702,127,17668,43,8.2278E+15,1.293E+16,323,0.0,441091723,2,0,0.0,408,769,6329,29,183544,3.29114E+16,1,387,50633,3.33E+16,1.513E+16,132911,1.0,3
858,738,1148,4.1,0.0,656,164,0.0,1311,328,82,0.0,0.0,1148,2131,0.4,81,0.4,4.1,0.4,6,6,20.5,123,68,634,828,68661,198,948,5.43E+15,81301,1464,4.1,0.0,750352145,2,3,465,451,912,1626,24,227642,357724,1,492,4878,0.4,1.447E+16,12195,1.833E+16,3
859,485,388,194,0.0,291,97,971,1068,194,97,0.0,0.0,583,2718,2.86E+16,49,2.86E+16,485,1.43E+16,8,8,11625,93,1.076E+16,846,951,2.17789E+16,136,10255,2.27E+16,32258,1732,194,0.0,630286524,2,1,109,389,1.333E+16,10753,34,430108,408602,1,291,5.3763E+16,1.43E+16,1806,5.3764E+16,1.5,2
860,225,1236,674,112,787,0.0,0.0,19.1,225,562,0.0,0.0,1573,2697,0.6,115,0.6,562,667,6,6,14833,89,929,685,889,0.0,161,8626,4.97E+16,78652,1.968E+16,112,0.0,7.77887E+15,3,0,0.0,588,679,0.0,22,235955,3.93258E+16,1,787,11236,467,1.562E+16,16854,3.0,2
861,671,732,6.1,61,6.1,122,0.0,1585,183,244,122,0.0,1159,2988,273,46,455,305,231,12,12,13667,164,1157,628,789,9.4063E+15,254,1.0461E+16,584,6.0976E+16,1.497E+16,122,0.0,7.57017E+15,1,1,485,0.0,935,12195,39,286586,3.71951E+16,1,549,54878,3.38E+16,1756,115854,1.417E+16,3
862,303,9.7,576,0.0,394,0.3,121,1515,364,121,182,0.0,818,2121,0.4,92,467,485,2.86E+16,16,16,2.0563E+16,329,87,527,764,79578,247,10295,564,8.5106E+15,1325,121,91,758094873,2,3,556,602,1035,304,77,2.82674E+16,3.37386E+16,1,424,5.4711E+16,248,1514,130.7,6938,3
863,145,942,362,0.0,507,72,217,1377,2.9,72,72,0.0,8.7,2246,222,2.8E+16,3.33E+16,2.9,267,10,10,13.8,138,897,6.81E+15,855,103524,249,7999,46,65217,1.336E+16,217,145,77414724,2,1,327,271,1.029E+16,7246,35,26087,333333,1,362,65217,244,1.543E+16,15942,7.7,4
864,361,1084,361,0.0,482,0.0,1.2,1325,241,1.2,0.0,0.0,1084,2771,75,68,25,723,0.6,5,5,16.4,82,1103,7.83E+15,9.39E+15,0.0,141,11668,742,6.0976E+16,1276,482,241,7.65458E+15,3,2,292,556,9.13E+15,0.0,24,3.29268E+16,439024,1,602,6.0976E+16,0.4,1768,158536,3.2,3
865,714,952,476,0.0,238,0.0,0.0,1429,0.0,238,0.0,0.0,11.9,1429,0.5,5,0.0,952,3.33E+16,3,3,14.0,42,1.017E+16,833,875,0.0,4,8.136E+15,273,1.19048E+16,1137,714,476,3.48834E+16,3,0,0.0,327,1.2,0.0,8,2.14286E+16,309524,1,952,95238,0.0,1548,190477,4333,4
866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,12.5,0.0,0.0,25.0,50.0,0.0,0.0,0.0,12.5,0.0,2,2,4.0,8,1035,1.0,1.0,0.0,9E+15,662,1.0,0.0,1.373E+16,12.5,0.0,0.0,3,0,0.0,109,0.5,0.0,2,125.0,250.0,1,25.0,250.0,0.0,175,125.0,0.5,0
